;0
1979-01-31;-44.646837294912295
1979-02-28;-29.267886712874606
1979-03-31;-51.963853126506734
1979-04-30;-37.11944853396449
1979-05-31;-17.118013893103214
1979-06-30;-19.177583148673108
1979-07-31;-2.095637992933426
1979-08-31;-5.317676028579648
1979-09-30;-44.739009802214916
1979-10-31;-40.620089279164304
1979-11-30;-33.53969586455559
1979-12-31;-57.28096586796243
1980-01-31;-37.265003295546144
1980-02-29;-4.0549131161942
1980-03-31;-33.17302794180988
1980-04-30;-38.5659318236406
1980-05-31;-32.17548550475661
1980-06-30;-17.792594948199294
1980-07-31;-25.1217041798915
1980-08-31;-25.35556029074122
1980-09-30;-12.816990455525847
1980-10-31;-72.22289767686885
1980-11-30;-5.8892158461411555
1980-12-31;-43.6913577214828
1981-01-31;8.851628477933176
1981-02-28;5.100858879223537
1981-03-31;-6.693311472057474
1981-04-30;-37.289747529525606
1981-05-31;-12.503062480929476
1981-06-30;-14.717782072431199
1981-07-31;-22.800084286286655
1981-08-31;8.246867422772404
1981-09-30;-38.766324145085264
1981-10-31;-34.65859060038989
1981-11-30;-46.35251639919007
1981-12-31;-38.82071456557819
1982-01-31;-49.1398374149407
1982-02-28;-50.86510420469668
1982-03-31;-31.75292849631471
1982-04-30;10.87782721216854
1982-05-31;-34.75341408511868
1982-06-30;-12.69539721629047
1982-07-31;-11.135319596719132
1982-08-31;-38.753226334718185
1982-09-30;-51.43257790535686
1982-10-31;-16.85605760387078
1982-11-30;-54.39530098833382
1982-12-31;-70.12054204950746
1983-01-31;-67.81337483128638
1983-02-28;-66.00639188560086
1983-03-31;-40.81062221521291
1983-04-30;-30.51313388961052
1983-05-31;-13.61762397909311
1983-06-30;-9.019689828582031
1983-07-31;-4.019727836372613
1983-08-31;-32.307644935543294
1983-09-30;-49.65657363266331
1983-10-31;-36.35675776816572
1983-11-30;-4.819521548536301
1983-12-31;-28.038523566167598
1984-01-31;-31.55086960084887
1984-02-29;-59.76736213929591
1984-03-31;-15.669439101779659
1984-04-30;-29.19260897614346
1984-05-31;-18.604812848204443
1984-06-30;-13.73823065233771
1984-07-31;-14.87272813822361
1984-08-31;-28.66818483442269
1984-09-30;-50.87342440396224
1984-10-31;-27.231991355603945
1984-11-30;-40.518726119427846
1984-12-31;-66.71476713603643
1985-01-31;-3.188237093657804
1985-02-28;17.939853431977284
1985-03-31;-36.27262287714655
1985-04-30;-41.95064704537998
1985-05-31;-28.074110884276188
1985-06-30;-17.738886906249377
1985-07-31;-19.27654508148801
1985-08-31;-40.590897269395846
1985-09-30;-45.75302298398955
1985-10-31;-13.45565390881525
1985-11-30;-39.42073374162631
1985-12-31;-4.375920515204157
1986-01-31;-34.54591573974948
1986-02-28;-41.11938726295536
1986-03-31;-33.23085079643814
1986-04-30;-19.919756369474023
1986-05-31;-40.13245742411212
1986-06-30;-6.678932116849371
1986-07-31;-24.305484526808165
1986-08-31;-22.508897097491204
1986-09-30;-43.27560603492728
1986-10-31;-15.193907124635615
1986-11-30;-19.2156809142258
1986-12-31;-50.491974736727144
1987-01-31;-61.337961736017306
1987-02-28;-35.93235354744059
1987-03-31;-29.119724807359532
1987-04-30;-34.54770170897724
1987-05-31;-34.63380546842624
1987-06-30;-13.30170018476802
1987-07-31;-17.940918828134137
1987-08-31;-18.909857887617004
1987-09-30;28.92835226406359
1987-10-31;-49.19143777781141
1987-11-30;-27.886398684460858
1987-12-31;-37.68916863122838
1988-01-31;-63.935106439096565
1988-02-29;41.15688005516826
1988-03-31;10.191625872798738
1988-04-30;0.7936789170924996
1988-05-31;-27.059259264277436
1988-06-30;-9.827036124263703
1988-07-31;-21.815256772145126
1988-08-31;-33.13211845084297
1988-09-30;-25.008910146852656
