;pr
1901-01-31;65.9901
1901-02-28;82.1997
1901-03-31;81.1065
1901-04-30;39.6374
1901-05-31;14.9665
1901-06-30;13.3148
1901-07-31;10.1383
1901-08-31;15.6452
1901-09-30;59.1459
1901-10-31;66.2389
1901-11-30;66.9164
1901-12-31;63.887
1902-01-31;58.123999999999995
1902-02-28;49.2258
1902-03-31;67.2561
1902-04-30;31.9123
1902-05-31;7.8161
1902-06-30;16.1566
1902-07-31;9.77668
1902-08-31;16.6419
1902-09-30;42.8283
1902-10-31;31.8864
1902-11-30;37.453
1902-12-31;49.7872
1903-01-31;41.6798
1903-02-28;40.1567
1903-03-31;26.087
1903-04-30;36.6776
1903-05-31;18.6191
1903-06-30;13.7247
1903-07-31;7.250939999999999
1903-08-31;10.8903
1903-09-30;7.22882
1903-10-31;29.756
1903-11-30;64.3705
1903-12-31;43.2891
1904-01-31;95.6307
1904-02-29;74.7153
1904-03-31;70.0503
1904-04-30;21.3505
1904-05-31;10.9179
1904-06-30;11.1255
1904-07-31;7.21317
1904-08-31;10.1486
1904-09-30;16.1486
1904-10-31;35.2018
1904-11-30;39.3727
1904-12-31;37.8314
1905-01-31;51.9673
1905-02-28;60.8996
1905-03-31;58.3608
1905-04-30;30.8227
1905-05-31;24.2179
1905-06-30;15.3556
1905-07-31;3.6473
1905-08-31;13.9307
1905-09-30;34.869
1905-10-31;29.1317
1905-11-30;47.7117
1905-12-31;60.9135
1906-01-31;51.2022
1906-02-28;63.7931
1906-03-31;55.5254
1906-04-30;18.5005
1906-05-31;23.4392
1906-06-30;11.6612
1906-07-31;3.10216
1906-08-31;6.466469999999999
1906-09-30;30.1584
1906-10-31;65.9433
1906-11-30;69.9403
1906-12-31;83.0346
1907-01-31;86.2345
1907-02-28;97.0798
1907-03-31;65.9053
1907-04-30;74.2723
1907-05-31;29.3383
1907-06-30;5.9779599999999995
1907-07-31;4.2637
1907-08-31;2.82159
1907-09-30;27.0971
1907-10-31;39.5139
1907-11-30;56.4308
1907-12-31;66.7379
1908-01-31;45.0343
1908-02-29;42.5525
1908-03-31;46.5796
1908-04-30;31.9652
1908-05-31;5.98131
1908-06-30;13.8993
1908-07-31;17.877
1908-08-31;19.1786
1908-09-30;24.136
1908-10-31;46.0053
1908-11-30;45.9279
1908-12-31;49.3222
1909-01-31;113.03399999999999
1909-02-28;114.913
1909-03-31;81.6391
1909-04-30;39.0238
1909-05-31;38.5851
1909-06-30;5.0059
1909-07-31;7.0513699999999995
1909-08-31;20.3337
1909-09-30;28.3127
1909-10-31;24.0487
1909-11-30;42.2695
1909-12-31;92.6147
1910-01-31;74.866
1910-02-28;92.0047
1910-03-31;64.1211
1910-04-30;12.5201
1910-05-31;20.6837
1910-06-30;17.1347
1910-07-31;12.2769
1910-08-31;7.727589999999999
1910-09-30;22.214000000000002
1910-10-31;66.0244
1910-11-30;36.256
1910-12-31;58.583
1911-01-31;82.9587
1911-02-28;46.13399999999999
1911-03-31;85.6236
1911-04-30;40.3829
1911-05-31;42.9627
1911-06-30;15.2277
1911-07-31;21.949
1911-08-31;21.0783
1911-09-30;20.3236
1911-10-31;49.2864
1911-11-30;54.0509
1911-12-31;28.5992
1912-01-31;54.6804
1912-02-29;82.4589
1912-03-31;39.8839
1912-04-30;49.0744
1912-05-31;17.364
1912-06-30;20.3652
1912-07-31;10.4476
1912-08-31;8.56315
1912-09-30;13.4892
1912-10-31;14.7008
1912-11-30;22.6308
1912-12-31;70.5087
1913-01-31;51.5724
1913-02-28;92.3719
1913-03-31;77.6879
