;0
1901-01-31;22.5684
1901-02-28;22.464000000000002
1901-03-31;19.508
1901-04-30;17.9655
1901-05-31;12.8272
1901-06-30;10.6417
1901-07-31;9.821439999999999
1901-08-31;12.7161
1901-09-30;14.3793
1901-10-31;16.9279
1901-11-30;19.5505
1901-12-31;21.5345
1902-01-31;21.2266
1902-02-28;22.2234
1902-03-31;20.3511
1902-04-30;16.7192
1902-05-31;14.3036
1902-06-30;9.83946
1902-07-31;10.6724
1902-08-31;11.8817
1902-09-30;14.3117
1902-10-31;17.3256
1902-11-30;18.7524
1902-12-31;22.0174
1903-01-31;22.5375
1903-02-28;22.1002
1903-03-31;20.1539
1903-04-30;16.5393
1903-05-31;13.3461
1903-06-30;9.65809
1903-07-31;10.0671
1903-08-31;12.1436
1903-09-30;14.9158
1903-10-31;17.0976
1903-11-30;19.0635
1903-12-31;21.6556
1904-01-31;21.7369
1904-02-29;21.4831
1904-03-31;19.717
1904-04-30;17.1306
1904-05-31;13.3081
1904-06-30;10.6908
1904-07-31;10.6207
1904-08-31;11.9418
1904-09-30;14.5169
1904-10-31;17.2346
1904-11-30;19.8668
1904-12-31;20.4618
1905-01-31;22.3834
1905-02-28;21.5944
1905-03-31;19.7832
1905-04-30;17.7076
1905-05-31;13.1208
1905-06-30;9.82662
1905-07-31;11.0736
1905-08-31;11.2455
1905-09-30;15.0985
1905-10-31;18.0156
1905-11-30;19.6222
1905-12-31;21.8329
1906-01-31;22.8377
1906-02-28;21.6216
1906-03-31;19.8909
1906-04-30;16.3203
1906-05-31;13.5102
1906-06-30;10.915999999999999
1906-07-31;9.68266
1906-08-31;11.01
1906-09-30;14.755
1906-10-31;16.4685
1906-11-30;19.316
1906-12-31;20.7933
1907-01-31;21.635
1907-02-28;21.5822
1907-03-31;20.4301
1907-04-30;16.2819
1907-05-31;12.3007
1907-06-30;10.1548
1907-07-31;9.99646
1907-08-31;12.0869
1907-09-30;14.972000000000001
1907-10-31;16.5806
1907-11-30;18.6524
1907-12-31;20.4874
1908-01-31;21.546999999999997
1908-02-29;22.0582
1908-03-31;19.9535
1908-04-30;15.4801
1908-05-31;13.4767
1908-06-30;10.2678
1908-07-31;10.3599
1908-08-31;12.0995
1908-09-30;15.3908
1908-10-31;17.2344
1908-11-30;19.2984
1908-12-31;21.844
1909-01-31;22.174
1909-02-28;21.1809
1909-03-31;19.2663
1909-04-30;17.1195
1909-05-31;13.2184
1909-06-30;11.0936
1909-07-31;10.7021
1909-08-31;12.3872
1909-09-30;15.1598
1909-10-31;16.9887
1909-11-30;19.81
1909-12-31;20.8422
1910-01-31;22.008000000000003
1910-02-28;21.4499
1910-03-31;20.2648
1910-04-30;17.0624
1910-05-31;13.3024
1910-06-30;9.8416
1910-07-31;10.376
1910-08-31;11.6542
1910-09-30;14.6985
1910-10-31;16.7325
1910-11-30;18.1537
1910-12-31;21.4101
1911-01-31;22.1108
1911-02-28;22.6629
1911-03-31;19.8872
1911-04-30;16.5798
1911-05-31;12.6983
1911-06-30;9.4948
1911-07-31;9.587660000000001
1911-08-31;11.1405
1911-09-30;14.6564
1911-10-31;18.368
1911-11-30;19.8503
1911-12-31;22.7722
1912-01-31;22.8121
1912-02-29;22.1404
1912-03-31;20.2611
1912-04-30;17.2981
1912-05-31;13.7967
1912-06-30;10.5005
1912-07-31;10.2643
1912-08-31;12.0683
1912-09-30;13.9127
1912-10-31;18.0489
1912-11-30;20.596
1912-12-31;22.0392
1913-01-31;23.125999999999998
1913-02-28;22.4123
1913-03-31;20.3559
1913-04-30;17.1573
1913-05-31;13.6021
1913-06-30;10.9308
1913-07-31;10.2104
1913-08-31;13.0158
1913-09-30;14.6165
1913-10-31;17.250999999999998
1913-11-30;20.0399
1913-12-31;22.0155
1914-01-31;23.3498
1914-02-28;22.3731
1914-03-31;20.6842
1914-04-30;17.3881
1914-05-31;14.3083
1914-06-30;10.1108
1914-07-31;10.3445
1914-08-31;11.6017
1914-09-30;16.2267
1914-10-31;18.611
1914-11-30;19.1744
1914-12-31;21.4591
1915-01-31;23.6416
1915-02-28;22.7339
1915-03-31;20.9143
1915-04-30;16.6769
1915-05-31;13.1918
1915-06-30;10.4927
1915-07-31;9.17192
1915-08-31;12.4237
1915-09-30;14.9491
1915-10-31;17.4335
1915-11-30;19.8095
1915-12-31;21.7142
1916-01-31;22.2175
1916-02-29;22.9758
1916-03-31;20.1374
1916-04-30;17.4831
1916-05-31;12.0544
1916-06-30;10.0186
1916-07-31;10.8712
1916-08-31;11.379000000000001
1916-09-30;15.195
1916-10-31;18.2735
1916-11-30;20.1625
1916-12-31;21.9164
1917-01-31;22.3952
1917-02-28;22.3238
1917-03-31;20.1103
1917-04-30;16.7557
1917-05-31;12.6099
1917-06-30;10.0097
1917-07-31;9.64085
1917-08-31;10.7081
1917-09-30;14.4781
1917-10-31;17.6562
1917-11-30;19.0975
1917-12-31;21.2678
1918-01-31;21.2762
1918-02-28;22.4325
1918-03-31;19.8972
1918-04-30;17.093
1918-05-31;12.5456
1918-06-30;10.307
1918-07-31;10.2891
1918-08-31;11.599
1918-09-30;15.6239
1918-10-31;18.1736
1918-11-30;19.6531
1918-12-31;21.7098
1919-01-31;22.6365
1919-02-28;22.6219
1919-03-31;20.8228
1919-04-30;18.3181
1919-05-31;13.26
1919-06-30;11.2775
1919-07-31;10.6158
1919-08-31;12.2554
1919-09-30;14.2203
1919-10-31;18.3113
1919-11-30;19.2249
1919-12-31;22.0832
1920-01-31;23.38
1920-02-29;21.6733
1920-03-31;19.4852
1920-04-30;17.5225
1920-05-31;13.4959
1920-06-30;9.69535
1920-07-31;11.1468
1920-08-31;12.6712
1920-09-30;14.9122
1920-10-31;17.373
1920-11-30;20.9869
