pr,"	Year", Month, Country, ISO3, ISO2
65.9901,1901,1,ZAF,,
82.1997,1901,2,ZAF,,
81.1065,1901,3,ZAF,,
39.6374,1901,4,ZAF,,
14.9665,1901,5,ZAF,,
13.3148,1901,6,ZAF,,
10.1383,1901,7,ZAF,,
15.6452,1901,8,ZAF,,
59.1459,1901,9,ZAF,,
66.2389,1901,10,ZAF,,
66.9164,1901,11,ZAF,,
63.887,1901,12,ZAF,,
58.124,1902,1,ZAF,,
49.2258,1902,2,ZAF,,
67.2561,1902,3,ZAF,,
31.9123,1902,4,ZAF,,
7.8161,1902,5,ZAF,,
16.1566,1902,6,ZAF,,
9.77668,1902,7,ZAF,,
16.6419,1902,8,ZAF,,
42.8283,1902,9,ZAF,,
31.8864,1902,10,ZAF,,
37.453,1902,11,ZAF,,
49.7872,1902,12,ZAF,,
41.6798,1903,1,ZAF,,
40.1567,1903,2,ZAF,,
26.087,1903,3,ZAF,,
36.6776,1903,4,ZAF,,
18.6191,1903,5,ZAF,,
13.7247,1903,6,ZAF,,
7.25094,1903,7,ZAF,,
10.8903,1903,8,ZAF,,
7.22882,1903,9,ZAF,,
29.756,1903,10,ZAF,,
64.3705,1903,11,ZAF,,
43.2891,1903,12,ZAF,,
95.6307,1904,1,ZAF,,
74.7153,1904,2,ZAF,,
70.0503,1904,3,ZAF,,
21.3505,1904,4,ZAF,,
10.9179,1904,5,ZAF,,
11.1255,1904,6,ZAF,,
7.21317,1904,7,ZAF,,
10.1486,1904,8,ZAF,,
16.1486,1904,9,ZAF,,
35.2018,1904,10,ZAF,,
39.3727,1904,11,ZAF,,
37.8314,1904,12,ZAF,,
51.9673,1905,1,ZAF,,
60.8996,1905,2,ZAF,,
58.3608,1905,3,ZAF,,
30.8227,1905,4,ZAF,,
24.2179,1905,5,ZAF,,
15.3556,1905,6,ZAF,,
3.6473,1905,7,ZAF,,
13.9307,1905,8,ZAF,,
34.869,1905,9,ZAF,,
29.1317,1905,10,ZAF,,
47.7117,1905,11,ZAF,,
60.9135,1905,12,ZAF,,
51.2022,1906,1,ZAF,,
63.7931,1906,2,ZAF,,
55.5254,1906,3,ZAF,,
18.5005,1906,4,ZAF,,
23.4392,1906,5,ZAF,,
11.6612,1906,6,ZAF,,
3.10216,1906,7,ZAF,,
6.46647,1906,8,ZAF,,
30.1584,1906,9,ZAF,,
65.9433,1906,10,ZAF,,
69.9403,1906,11,ZAF,,
83.0346,1906,12,ZAF,,
86.2345,1907,1,ZAF,,
97.0798,1907,2,ZAF,,
65.9053,1907,3,ZAF,,
74.2723,1907,4,ZAF,,
29.3383,1907,5,ZAF,,
5.97796,1907,6,ZAF,,
4.2637,1907,7,ZAF,,
2.82159,1907,8,ZAF,,
27.0971,1907,9,ZAF,,
39.5139,1907,10,ZAF,,
56.4308,1907,11,ZAF,,
66.7379,1907,12,ZAF,,
45.0343,1908,1,ZAF,,
42.5525,1908,2,ZAF,,
46.5796,1908,3,ZAF,,
31.9652,1908,4,ZAF,,
5.98131,1908,5,ZAF,,
13.8993,1908,6,ZAF,,
17.877,1908,7,ZAF,,
19.1786,1908,8,ZAF,,
24.136,1908,9,ZAF,,
46.0053,1908,10,ZAF,,
45.9279,1908,11,ZAF,,
49.3222,1908,12,ZAF,,
113.034,1909,1,ZAF,,
114.913,1909,2,ZAF,,
